,Unnamed: 0,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
0,0,1,2008,Bangalore,18-04-2008,KKR,RCB,RCB,field,M Chinnaswamy Stadium,KKR,0,0,13,14,1245,1272
1,1,2,2008,Chandigarh,19-04-2008,CSK,KXIP,CSK,bat,"Punjab Cricket Association Stadium, Mohali",CSK,0,0,16,15,1630,1734
2,2,3,2008,Delhi,19-04-2008,RR,DD,RR,bat,Feroz Shah Kotla,DD,0,0,16,14,1840,1484
3,3,4,2008,Mumbai,20-04-2008,MI,RCB,MI,bat,Wankhede Stadium,RCB,0,0,14,14,1540,1272
4,4,5,2008,Kolkata,20-04-2008,DC,KKR,DC,bat,Eden Gardens,KKR,0,0,14,13,1358,1245
5,5,6,2008,Jaipur,21-04-2008,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,0,0,15,16,1734,1840
6,6,7,2008,Hyderabad,22-04-2008,DC,DD,DC,bat,"Rajiv Gandhi International Stadium, Uppal",DD,0,0,14,14,1358,1484
7,7,8,2008,Chennai,23-04-2008,CSK,MI,MI,field,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,14,1630,1540
8,8,9,2008,Hyderabad,24-04-2008,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,0,0,14,16,1358,1840
9,9,10,2008,Chandigarh,25-04-2008,KXIP,MI,MI,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,15,14,1734,1540
10,10,11,2008,Bangalore,26-04-2008,RCB,RR,RR,field,M Chinnaswamy Stadium,RR,0,0,14,16,1272,1840
11,11,12,2008,Chennai,26-04-2008,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,13,16,1245,1630
12,12,13,2008,Mumbai,27-04-2008,MI,DC,DC,field,Dr DY Patil Sports Academy,DC,0,0,14,14,1540,1358
13,13,14,2008,Chandigarh,27-04-2008,DD,KXIP,DD,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,14,15,1484,1734
14,14,15,2008,Bangalore,28-04-2008,CSK,RCB,CSK,bat,M Chinnaswamy Stadium,CSK,0,0,16,14,1630,1272
15,15,16,2008,Kolkata,29-04-2008,KKR,MI,KKR,bat,Eden Gardens,MI,0,0,13,14,1245,1540
16,16,17,2008,Delhi,30-04-2008,DD,RCB,RCB,field,Feroz Shah Kotla,DD,0,0,14,14,1484,1272
17,17,18,2008,Hyderabad,01-05-2008,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",KXIP,0,0,14,15,1358,1734
18,18,19,2008,Jaipur,01-05-2008,RR,KKR,RR,bat,Sawai Mansingh Stadium,RR,0,0,16,13,1840,1245
19,19,20,2008,Chennai,02-05-2008,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,16,14,1630,1484
20,20,21,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,"Rajiv Gandhi International Stadium, Uppal",RCB,0,0,14,14,1358,1272
21,21,22,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,15,13,1734,1245
22,22,23,2008,Mumbai,04-05-2008,MI,DD,DD,field,Dr DY Patil Sports Academy,MI,0,0,14,14,1540,1484
23,23,24,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,Sawai Mansingh Stadium,RR,0,0,16,16,1630,1840
24,24,25,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,M Chinnaswamy Stadium,KXIP,0,0,14,15,1272,1734
25,25,26,2008,Chennai,06-05-2008,CSK,DC,DC,field,"MA Chidambaram Stadium, Chepauk",DC,0,0,16,14,1630,1358
26,26,27,2008,Mumbai,07-05-2008,RR,MI,MI,field,Dr DY Patil Sports Academy,MI,0,0,16,14,1840,1540
27,27,28,2008,Delhi,08-05-2008,DD,CSK,CSK,field,Feroz Shah Kotla,CSK,0,0,14,16,1484,1630
28,28,29,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,Eden Gardens,KKR,0,0,13,14,1245,1272
29,29,30,2008,Jaipur,09-05-2008,DC,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,14,16,1358,1840
30,30,31,2008,Bangalore,28-05-2008,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,0,0,14,14,1272,1540
31,31,32,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,15,1630,1734
32,32,33,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,"Rajiv Gandhi International Stadium, Uppal",KKR,0,0,13,14,1245,1358
33,33,34,2008,Jaipur,11-05-2008,DD,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,14,16,1484,1840
34,34,35,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,14,15,1272,1734
35,35,36,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,Eden Gardens,KKR,0,0,13,14,1245,1484
36,36,37,2008,Mumbai,14-05-2008,CSK,MI,MI,field,Wankhede Stadium,MI,0,0,16,14,1630,1540
37,37,38,2008,Chandigarh,28-05-2008,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,15,16,1734,1840
38,38,39,2008,Delhi,15-05-2008,DD,DC,DC,field,Feroz Shah Kotla,DD,0,0,14,14,1484,1358
39,39,40,2008,Mumbai,16-05-2008,KKR,MI,MI,field,Wankhede Stadium,MI,0,0,13,14,1245,1540
40,40,41,2008,Delhi,17-05-2008,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,0,0,14,15,1484,1734
41,41,42,2008,Jaipur,17-05-2008,RR,RCB,RCB,field,Sawai Mansingh Stadium,RR,0,0,16,14,1840,1272
42,42,43,2008,Hyderabad,18-05-2008,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",MI,0,0,14,14,1540,1358
43,43,44,2008,Kolkata,18-05-2008,KKR,CSK,KKR,bat,Eden Gardens,CSK,0,0,13,16,1245,1630
44,44,45,2008,Bangalore,19-05-2008,RCB,DD,DD,field,M Chinnaswamy Stadium,DD,0,0,14,14,1272,1484
45,45,46,2008,Kolkata,20-05-2008,KKR,RR,RR,field,Eden Gardens,RR,0,0,13,16,1245,1840
46,46,47,2008,Mumbai,21-05-2008,KXIP,MI,MI,field,Wankhede Stadium,KXIP,0,0,15,14,1734,1540
47,47,48,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",RCB,0,0,14,16,1272,1630
48,48,49,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,14,15,1358,1734
49,49,50,2008,Delhi,24-05-2008,MI,DD,DD,field,Feroz Shah Kotla,DD,0,0,14,14,1540,1484
50,50,51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",RR,0,0,16,16,1840,1630
51,51,52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,RCB,0,0,14,14,1272,1358
52,52,53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,KKR,0,0,15,13,1734,1245
53,53,54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,14,16,1540,1840
54,54,55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",CSK,0,0,14,16,1358,1630
55,55,56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,RR,0,0,16,14,1840,1484
56,56,57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,CSK,0,0,15,16,1734,1630
57,57,58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,RR,0,0,16,16,1630,1840
58,58,59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,MI,0,0,13,14,1433,1550
59,59,60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,RCB,0,0,16,13,1461,1191
60,60,61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,DD,0,0,14,15,1257,1399
61,61,62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,DC,0,0,13,16,1091,1718
62,62,63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,CSK,0,0,14,16,1550,1461
63,63,64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,KKR,0,0,14,13,1257,1091
64,64,65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,DC,0,0,16,16,1718,1461
65,65,66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,DD,0,0,15,14,1399,1550
66,66,67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,RR,0,0,13,13,1191,1091
67,67,68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,KXIP,0,0,16,14,1461,1257
68,68,69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,DC,0,0,16,13,1718,1433
69,69,70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,DD,0,0,16,15,1461,1399
70,70,71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,KXIP,0,0,14,13,1257,1191
71,71,72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,DC,0,0,14,16,1550,1718
72,72,73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,MI,0,0,13,13,1433,1091
73,73,74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,RR,0,0,15,13,1399,1191
74,74,75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,RCB,0,0,13,16,1091,1461
75,75,76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,KXIP,0,0,14,13,1257,1433
76,76,77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,DD,0,0,16,15,1718,1399
77,77,78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,CSK,0,0,14,13,1550,1191
78,78,79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,MI,0,0,13,13,1433,1091
79,79,80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,RCB,0,0,16,14,1461,1257
80,80,81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,RR,0,0,16,13,1718,1191
81,81,82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,CSK,0,0,14,15,1550,1399
82,82,83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,KXIP,0,0,13,14,1091,1257
83,83,84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,RCB,0,0,13,16,1433,1461
84,84,85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,CSK,0,0,14,16,1550,1718
85,85,86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,RR,0,0,13,14,1191,1257
86,86,87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,DD,0,0,13,15,1091,1399
87,87,88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,DC,0,0,16,13,1718,1433
88,88,89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,RR,0,0,16,13,1461,1191
89,89,90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,CSK,0,0,14,14,1550,1257
90,90,91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,DD,0,0,13,15,1433,1399
91,91,92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,KXIP,0,0,16,14,1718,1257
92,92,93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,CSK,0,0,13,14,1191,1550
93,93,94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,MI,0,0,13,16,1433,1461
94,94,95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,DD,0,0,13,15,1091,1399
95,95,96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,DC,0,0,16,13,1718,1191
96,96,97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,RCB,0,0,13,16,1091,1461
97,97,98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,MI,0,0,14,13,1257,1433
98,98,99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,DD,0,0,15,16,1399,1718
99,99,100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,RCB,0,0,14,16,1550,1461
100,100,101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,RR,0,0,13,13,1191,1433
101,101,102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,KXIP,0,0,15,14,1399,1257
102,102,103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,CSK,0,0,13,14,1433,1550
103,103,104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,DC,0,0,13,16,1091,1718
104,104,105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,KXIP,0,0,14,16,1257,1718
105,105,106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,DD,0,0,15,13,1399,1191
106,106,107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,KKR,0,0,14,13,1550,1091
107,107,108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,RCB,0,0,15,16,1399,1461
108,108,109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,KKR,0,0,13,13,1191,1091
109,109,110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,CSK,0,0,14,14,1550,1257
110,110,111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,DD,0,0,13,15,1433,1399
111,111,112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,RCB,0,0,16,16,1461,1718
112,112,113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,DC,0,0,15,16,1399,1718
113,113,114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,RCB,0,0,14,16,1550,1461
114,114,115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,DC,0,0,16,16,1718,1461
115,115,116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,KKR,0,0,14,16,1222,1694
116,116,117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,MI,0,0,16,14,1682,1339
117,117,118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",DD,0,0,14,14,1433,1314
118,118,119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,KKR,0,0,16,14,1802,1222
119,119,120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",DC,0,0,16,16,1694,1826
120,120,121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",DD,0,0,14,14,1339,1314
121,121,122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,RCB,0,0,14,16,1433,1802
122,122,123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,CSK,0,0,16,14,1826,1222
123,123,124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,MI,0,0,16,14,1682,1314
124,124,125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,14,16,1339,1802
125,125,126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,CSK,0,0,14,16,1314,1826
126,126,127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,DC,0,0,16,14,1694,1433
127,127,128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,14,14,1339,1222
128,128,129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,RCB,0,0,16,16,1682,1802
129,129,130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,DC,0,0,16,14,1694,1314
130,130,131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",KXIP,0,0,14,16,1433,1826
131,131,132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,MI,0,0,14,16,1222,1682
132,132,133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,RCB,0,0,16,16,1802,1826
133,133,134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",RR,0,0,14,14,1339,1433
134,134,135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,MI,0,0,16,16,1826,1682
135,135,136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",RR,0,0,16,14,1694,1339
136,136,137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",KKR,0,0,14,14,1222,1433
137,137,138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,DD,0,0,14,16,1314,1802
138,138,139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,14,16,1339,1826
139,139,140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,MI,0,0,16,16,1682,1694
140,140,141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,DD,0,0,14,14,1314,1222
141,141,142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,MI,0,0,14,16,1433,1682
142,142,143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,16,1802,1826
143,143,144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,DD,0,0,14,14,1314,1339
144,144,145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,KKR,0,0,14,16,1222,1694
145,145,146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",RCB,0,0,14,16,1433,1802
146,146,147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,14,1826,1339
147,147,148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,MI,0,0,16,16,1682,1694
148,148,149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,KXIP,0,0,14,14,1222,1433
149,149,150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,DD,0,0,14,16,1314,1802
150,150,151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",RR,0,0,14,16,1339,1694
151,151,152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,16,1826,1682
152,152,153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,0,0,14,14,1433,1339
153,153,154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,KKR,0,0,14,14,1222,1314
154,154,155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,DC,0,0,16,16,1802,1694
155,155,156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,16,14,1682,1433
156,156,157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,16,16,1826,1694
157,157,158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,14,16,1222,1802
158,158,159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,0,0,14,14,1314,1433
159,159,160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,MI,0,0,16,14,1682,1339
160,160,161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,16,16,1694,1802
161,161,162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,MI,0,0,16,14,1682,1314
162,162,163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,14,16,1222,1826
163,163,164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,RCB,0,0,14,16,1339,1802
164,164,165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,16,14,1826,1314
